Date,Open,High,Low,Close,Volume
2002-08-01,10000,10000,10000,10000,0
2002-08-02,10000,10000,10000,10000,0
2002-08-03,10000,10000,10000,10000,0
2002-08-04,10000,10000,10000,10000,0
2002-08-05,10000,10000,10000,10000,0
2002-08-06,10000,10000,10000,10000,0
2002-08-07,10000,10000,10000,10000,0
2002-08-08,10000,10000,10000,10000,0
2002-08-09,10000,10000,10000,10000,0
2002-08-10,10000,10000,10000,10000,0
2002-08-11,10000,10000,10000,10000,0
2002-08-12,10000,10000,10000,10000,0
2002-08-13,10000,10000,10000,10000,0
2002-08-14,10000,10000,10000,10000,0
2002-08-15,10000,10000,10000,10000,0
2002-08-16,10000,10000,10000,10000,0
2002-08-17,10000,10000,10000,10000,0
2002-08-18,10000,10000,10000,10000,0
2002-08-19,10000,10000,10000,10000,0
2002-08-20,10000,10000,10000,10000,0
2002-08-21,10000,10000,10000,10000,0
2002-08-22,10000,10000,10000,10000,0
2002-08-23,10000,10000,10000,10000,0
2002-08-24,10000,10000,10000,10000,0
2002-08-25,10000,10000,10000,10000,0
2002-08-26,10000,10000,10000,10000,0
2002-08-27,10000,10000,10000,10000,0
2002-08-28,10000,10000,10000,10000,0
2002-08-29,10000,10000,10000,10000,0
2002-08-30,10000,10000,10000,10000,0
2002-08-31,10000,10000,10000,10000,0
2002-09-01,10000,10000,10000,10000,0
2002-09-02,10000,10000,10000,10000,0
2002-09-03,10000,10000,10000,10000,0
2002-09-04,10000,10000,10000,10000,0
2002-09-05,10000,10000,10000,10000,0
2002-09-06,10000,10000,10000,10000,0
2002-09-07,10000,10000,10000,10000,0
2002-09-08,10000,10000,10000,10000,0
2002-09-09,10000,10000,10000,10000,0
2002-09-10,10000,10000,10000,10000,0
2002-09-11,10000,10000,10000,10000,0
2002-09-12,10000,10000,10000,10000,0
2002-09-13,10000,10000,10000,10000,0
2002-09-14,10000,10000,10000,10000,0
2002-09-15,10000,10000,10000,10000,0
2002-09-16,10000,10000,10000,10000,0
2002-09-17,10000,10000,10000,10000,0
2002-09-18,10000,10000,10000,10000,0
2002-09-19,10000,10000,10000,10000,0
2002-09-20,10000,10000,10000,10000,0
2002-09-21,10000,10000,10000,10000,0
2002-09-22,10000,10000,10000,10000,0
2002-09-23,10000,10000,10000,10000,0
2002-09-24,10000,10000,10000,10000,0
2002-09-25,10000,10000,10000,10000,0
2002-09-26,10000,10000,10000,10000,0
2002-09-27,10000,10000,10000,10000,0
2002-09-28,10000,10000,10000,10000,0
2002-09-29,10000,10000,10000,10000,0
2002-09-30,10000,10071,10000,10071,0
2002-10-01,10071,10071,10019,10019,0
2002-10-02,10019,9923,10019,9923,0
2002-10-03,9923,9972,9923,9972,0
2002-10-04,9972,9972,9960,9960,0
2002-10-05,9960,9960,9960,9960,0
2002-10-06,9960,9960,9960,9960,0
2002-10-07,9960,9960,9938,9938,0
2002-10-08,9938,9938,9913,9913,0
2002-10-09,9913,9913,9820,9820,0
2002-10-10,9820,9820,9816,9816,0
2002-10-11,9816,9816,9757,9757,0
2002-10-12,9757,9757,9757,9757,0
2002-10-13,9757,9757,9757,9757,0
2002-10-14,9757,9757,9705,9705,0
2002-10-15,9705,9813,9705,9813,0
2002-10-16,9813,9813,9811,9811,0
2002-10-17,9811,9870,9811,9870,0
2002-10-18,9870,9870,9830,9830,0
2002-10-19,9830,9830,9830,9830,0
2002-10-20,9830,9830,9830,9830,0
2002-10-21,9830,9911,9830,9911,0
2002-10-22,9911,9916,9911,9916,0
2002-10-23,9916,9916,9916,9916,0
2002-10-24,9916,9916,9862,9862,0
2002-10-25,9862,9890,9862,9890,0
2002-10-26,9890,9890,9890,9890,0
2002-10-27,9890,9890,9890,9890,0
2002-10-28,9890,9918,9890,9918,0
2002-10-29,9918,9942,9918,9942,0
2002-10-30,9942,9952,9942,9952,0
2002-10-31,9952,9952,9924,9924,0
2002-11-01,9924,9924,9924,9924,0
2002-11-02,9924,9924,9924,9924,0
2002-11-03,9924,9924,9924,9924,0
2002-11-04,9924,9977,9924,9977,0
2002-11-05,9977,9977,10010,10010,0
2002-11-06,10010,10072,10010,10072,0
2002-11-07,10072,10116,10072,10116,0
2002-11-08,10116,10137,10116,10137,0
2002-11-09,10137,10137,10137,10137,0
2002-11-10,10137,10137,10137,10137,0
2002-11-11,10137,10137,10048,10048,0
2002-11-12,10048,9983,10048,9983,0
2002-11-13,9983,9983,9913,9913,0
2002-11-14,9913,9914,9913,9914,0
2002-11-15,9914,9919,9914,9919,0
2002-11-16,9919,9919,9919,9919,0
2002-11-17,9919,9919,9919,9919,0
2002-11-18,9919,9919,10034,10034,0
2002-11-19,10034,10048,10034,10048,0
2002-11-20,10048,10048,10021,10021,0
2002-11-21,10021,9979,10021,9979,0
2002-11-22,9979,9996,9979,9996,0
2002-11-23,9996,9996,9996,9996,0
2002-11-24,9996,9996,9996,9996,0
2002-11-25,9996,9996,10143,10143,0
2002-11-26,10143,10169,10143,10169,0
2002-11-27,10169,10169,10152,10152,0
2002-11-28,10152,10152,10078,10078,0
2002-11-29,10078,10096,10078,10096,0
2002-11-30,10096,10096,10096,10096,0
2002-12-01,10096,10096,10096,10096,0
2002-12-02,10096,10147,10096,10147,0
2002-12-03,10147,10163,10147,10163,0
2002-12-04,10163,10207,10163,10207,0
2002-12-05,10207,10208,10207,10208,0
2002-12-06,10208,10208,10141,10141,0
2002-12-07,10141,10141,10141,10141,0
2002-12-08,10141,10141,10141,10141,0
2002-12-09,10141,10141,10115,10115,0
2002-12-10,10115,10125,10115,10125,0
2002-12-11,10125,10125,10051,10051,0
2002-12-12,10051,10051,10032,10032,0
2002-12-13,10032,10032,10030,10030,0
2002-12-14,10030,10030,10030,10030,0
2002-12-15,10030,10030,10030,10030,0
2002-12-16,10030,10057,10030,10057,0
2002-12-17,10057,10057,10015,10015,0
2002-12-18,10015,10057,10015,10057,0
2002-12-19,10057,10112,10057,10112,0
2002-12-20,10112,10116,10112,10116,0
2002-12-21,10116,10116,10116,10116,0
2002-12-22,10116,10116,10116,10116,0
2002-12-23,10116,10118,10116,10118,0
2002-12-24,10118,10168,10118,10168,0
2002-12-25,10168,10168,10168,10168,0
2002-12-26,10168,10189,10168,10189,0
2002-12-27,10189,10208,10189,10208,0
2002-12-28,10208,10208,10208,10208,0
2002-12-29,10208,10208,10208,10208,0
2002-12-30,10208,10210,10208,10210,0
2003-01-01,10210,10210,10169,10169,0
2003-01-02,10169,10209,10169,10209,0
2003-01-03,10209,10213,10209,10213,0
2003-01-04,10213,10213,10213,10213,0
2003-01-05,10213,10213,10213,10213,0
2003-01-06,10213,10273,10213,10273,0
2003-01-07,10273,10317,10273,10317,0
2003-01-08,10317,10398,10317,10398,0
2003-01-09,10398,10398,10345,10345,0
2003-01-10,10345,10345,10315,10315,0
2003-01-11,10315,10315,10315,10315,0
2003-01-12,10315,10315,10315,10315,0
2003-01-13,10315,10380,10315,10380,0
2003-01-14,10380,10417,10380,10417,0
2003-01-15,10417,10453,10417,10453,0
2003-01-16,10453,10483,10453,10483,0
2003-01-17,10483,10484,10483,10484,0
2003-01-18,10484,10484,10484,10484,0
2003-01-19,10484,10484,10484,10484,0
2003-01-20,10484,10484,10478,10478,0
2003-01-21,10478,10478,10410,10410,0
2003-01-22,10410,10410,10396,10396,0
2003-01-23,10396,10396,10371,10371,0
2003-01-24,10371,10371,10297,10297,0
2003-01-25,10297,10297,10297,10297,0
2003-01-26,10297,10297,10297,10297,0
2003-01-27,10297,10340,10297,10340,0
2003-01-28,10340,10340,10275,10275,0
2003-01-29,10275,10275,10166,10166,0
2003-01-30,10166,10166,10165,10165,0
2003-01-31,10165,10165,10139,10139,0
2003-02-01,10139,10139,10139,10139,0
2003-02-02,10139,10139,10139,10139,0
2003-02-03,10139,10171,10139,10171,0
2003-02-04,10171,10197,10171,10197,0
2003-02-05,10197,10284,10197,10284,0
2003-02-06,10284,10287,10284,10287,0
2003-02-07,10287,10288,10287,10288,0
2003-02-08,10288,10288,10288,10288,0
2003-02-09,10288,10288,10288,10288,0
2003-02-10,10288,10288,10225,10225,0
2003-02-11,10225,10225,10214,10214,0
2003-02-12,10214,10214,10206,10206,0
2003-02-13,10206,10238,10206,10238,0
2003-02-14,10238,10238,10220,10220,0
2003-02-15,10220,10220,10220,10220,0
2003-02-16,10220,10220,10220,10220,0
2003-02-17,10220,10220,10189,10189,0
2003-02-18,10189,10189,10162,10162,0
2003-02-19,10162,10185,10162,10185,0
2003-02-20,10185,10278,10185,10278,0
2003-02-21,10278,10278,10267,10267,0
2003-02-22,10267,10267,10267,10267,0
2003-02-23,10267,10267,10267,10267,0
2003-02-24,10267,10267,10259,10259,0
2003-02-25,10259,10289,10259,10289,0
2003-02-26,10289,10289,10260,10260,0
2003-02-27,10260,10260,10202,10202,0
2003-02-28,10202,10202,10181,10181,0
2003-03-01,10181,10181,10181,10181,0
2003-03-02,10181,10181,10181,10181,0
2003-03-03,10181,10202,10181,10202,0
2003-03-04,10202,10247,10202,10247,0
2003-03-05,10247,10298,10247,10298,0
2003-03-06,10298,10298,10284,10284,0
2003-03-07,10284,10284,10247,10247,0
2003-03-08,10247,10247,10247,10247,0
2003-03-09,10247,10247,10247,10247,0
2003-03-10,10247,10261,10247,10261,0
2003-03-11,10261,10261,10248,10248,0
2003-03-12,10248,10248,10130,10130,0
2003-03-13,10130,10130,10094,10094,0
2003-03-14,10094,10094,10033,10033,0
2003-03-15,10033,10033,10033,10033,0
